,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
776,MOVIE,What's Eating Gilbert Grape,['US'],1993,PG-13,118,"['romance', 'drama']",7.672
205,MOVIE,Fantastic Planet,"['FR', 'XC']",1973,PG,72,"['animation', 'european', 'scifi']",7.672
325,MOVIE,I Vitelloni,"['FR', 'IT']",1954,Unknown,103,"['drama', 'comedy', 'european']",7.671
827,MOVIE,Hoop Dreams,['US'],1994,PG-13,170,"['documentation', 'sport', 'drama']",7.669
2066,MOVIE,Any One of Us,"['US', 'CA', 'MX', 'NL']",2020,Unknown,88,['documentation'],7.667
2042,MOVIE,537 Votes,['US'],2020,Unknown,109,['documentation'],7.667
2143,MOVIE,Elvis,"['US', 'AU']",2022,PG-13,159,"['drama', 'music']",7.665
16,MOVIE,The Philadelphia Story,['US'],1940,Unknown,112,"['comedy', 'romance']",7.661
916,MOVIE,George Carlin: You Are All Diseased,['US'],1999,Unknown,65,"['comedy', 'documentation']",7.649
2191,MOVIE,Blue Bayou,"['US', 'CA']",2021,Unknown,119,['drama'],7.644
514,MOVIE,Blue Velvet,['US'],1986,R,120,"['thriller', 'drama', 'crime']",7.641
328,MOVIE,Elevator to the Gallows,['FR'],1958,Unknown,91,"['drama', 'thriller', 'european', 'crime']",7.641
501,MOVIE,The Terminator,"['US', 'GB']",1984,R,107,"['thriller', 'action', 'scifi']",7.639
697,MOVIE,Boogie Nights,['US'],1997,R,155,['drama'],7.635
436,MOVIE,Opening Night,['US'],1978,PG-13,144,['drama'],7.631
238,MOVIE,Jules and Jim,['FR'],1962,Unknown,100,"['drama', 'european', 'romance']",7.63
811,MOVIE,Taste of Cherry,"['IR', 'FR']",1997,Unknown,95,"['drama', 'european']",7.628
1703,MOVIE,Everything Is Copy,['US'],2016,Unknown,89,['documentation'],7.625
1289,MOVIE,Scooby-Doo! Pirates Ahoy!,['US'],2006,Unknown,80,"['animation', 'thriller', 'fantasy']",7.619
236,MOVIE,Eyes Without a Face,"['IT', 'FR']",1960,Unknown,95,"['thriller', 'drama', 'horror', 'european']",7.614
179,MOVIE,Butch Cassidy and the Sundance Kid,['US'],1969,PG,110,"['drama', 'western', 'crime', 'comedy']",7.614
12,MOVIE,Black Narcissus,['GB'],1947,Unknown,100,['drama'],7.609
269,MOVIE,Harlan County U.S.A.,['US'],1977,PG,103,['documentation'],7.608
2016,MOVIE,Ride Your Wave,['JP'],2019,Unknown,95,"['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation']",7.607
1521,MOVIE,The Fault in Our Stars,['US'],2014,PG-13,126,"['romance', 'drama']",7.602
1868,MOVIE,Michelle Wolf: Nice Lady,['US'],2017,Unknown,58,['comedy'],7.6
360,MOVIE,Lady Snowblood,['JP'],1973,Unknown,97,"['action', 'drama', 'thriller', 'crime']",7.6
2224,MOVIE,Four Hours at the Capitol,['US'],2021,R,88,"['documentation', 'crime']",7.6
555,MOVIE,The Last Emperor,"['FR', 'IT', 'GB', 'CN']",1987,PG-13,160,"['drama', 'european', 'history']",7.6
1219,MOVIE,We Stand Alone Together: The Men of Easy Company,"['BE', 'US']",2001,PG,78,"['documentation', 'war']",7.6
186,MOVIE,Where Eagles Dare,['GB'],1968,PG,155,"['action', 'war']",7.6
212,MOVIE,The Dirty Dozen,"['GB', 'US']",1967,Unknown,150,"['war', 'action']",7.6
391,MOVIE,The Earrings of Madame de...,"['FR', 'IT']",1953,Unknown,105,"['drama', 'european', 'romance']",7.6
1941,MOVIE,David Byrne's American Utopia,['US'],2020,Unknown,105,"['music', 'documentation']",7.6
1413,MOVIE,Marina Abramović: The Artist Is Present,['US'],2012,Unknown,99,"['documentation', 'history']",7.6
185,MOVIE,Breathless,['FR'],1960,Unknown,90,"['crime', 'european', 'drama']",7.6
1293,MOVIE,Chris Rock: Kill the Messenger,['US'],2008,Unknown,79,"['comedy', 'documentation']",7.6
454,MOVIE,Black Girl,"['FR', 'SN']",1966,Unknown,60,"['drama', 'european']",7.6
439,MOVIE,Equinox Flower,['JP'],1958,Unknown,118,"['comedy', 'drama']",7.6
1973,MOVIE,Hotel Mumbai,"['IN', 'SG', 'US', 'AU']",2019,R,123,"['drama', 'action', 'thriller', 'history']",7.6
1419,MOVIE,Bill Cunningham New York,"['US', 'FR']",2011,Unknown,85,"['documentation', 'history']",7.6
1060,MOVIE,Have You Seen Andy?,['US'],2003,Unknown,80,"['crime', 'thriller', 'documentation']",7.6
69,MOVIE,The Testament of Dr. Mabuse,['DE'],1933,Unknown,122,"['thriller', 'crime', 'european', 'horror']",7.6
671,MOVIE,Carlin at Carnegie,['US'],1983,Unknown,60,['comedy'],7.6
27,MOVIE,Battleship Potemkin,['SU'],1925,Unknown,70,"['drama', 'thriller', 'war', 'history']",7.6
858,MOVIE,Larry David: Curb Your Enthusiasm,['US'],1999,Unknown,59,['comedy'],7.6
248,MOVIE,East of Eden,['US'],1955,PG,115,"['romance', 'drama', 'european']",7.6
146,MOVIE,The White Stadium,['CH'],1929,Unknown,124,"['documentation', 'sport']",7.6
1715,MOVIE,Every Brilliant Thing,['US'],2016,Unknown,60,['documentation'],7.6
716,MOVIE,JFK,['US'],1991,R,189,"['drama', 'thriller', 'history']",7.6
11,MOVIE,Häxan,['SE'],1922,Unknown,104,"['horror', 'european', 'history', 'documentation', 'fantasy']",7.6
1656,MOVIE,Going Clear: Scientology and the Prison of Belief,['US'],2015,Unknown,119,['documentation'],7.6
19,MOVIE,The Life and Death of Colonel Blimp,['GB'],1944,Unknown,163,"['drama', 'romance', 'war']",7.6
88,MOVIE,Paisan,['IT'],1948,Unknown,125,"['history', 'drama', 'war', 'european']",7.6
669,MOVIE,Sidewalk Stories,['US'],1990,Unknown,97,['comedy'],7.6
1599,MOVIE,Nixon by Nixon: In His Own Words,['US'],2014,Unknown,72,"['documentation', 'history']",7.6
895,MOVIE,Secrets & Lies,"['GB', 'FR']",1996,R,142,"['drama', 'comedy']",7.6
1807,MOVIE,McQueen,['GB'],2018,R,111,['documentation'],7.6
815,MOVIE,Happy Together,"['JP', 'AR', 'HK']",1997,Unknown,96,"['drama', 'romance', 'comedy']",7.6
1822,MOVIE,May It Last: A Portrait of the Avett Brothers,['US'],2017,Unknown,107,"['music', 'documentation']",7.6
68,MOVIE,La Ronde,['FR'],1950,Unknown,110,"['drama', 'european', 'romance']",7.6
1158,MOVIE,The Secret World of Arrietty,"['JP', 'FR']",2010,G,94,"['animation', 'family', 'fantasy', 'drama']",7.6
177,MOVIE,Night of the Living Dead,['US'],1968,Unknown,96,"['horror', 'thriller']",7.6
1461,MOVIE,Edge of Tomorrow,['US'],2014,PG-13,113,"['scifi', 'war', 'action']",7.598
777,MOVIE,Sleepers,['US'],1996,R,147,"['thriller', 'drama', 'crime']",7.597
215,MOVIE,Godzilla,['JP'],1954,Unknown,96,"['scifi', 'thriller', 'horror', 'action', 'drama']",7.596
2171,MOVIE,The Suicide Squad,['US'],2021,R,132,"['comedy', 'action', 'scifi', 'fantasy']",7.594
