,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
231,SHOW,Clarence,['US'],2014,TV-PG,3.0,"['comedy', 'family', 'animation']",7.622
212,SHOW,Gotham,['US'],2014,TV-14,5.0,"['scifi', 'crime', 'drama', 'thriller', 'action']",7.606
113,SHOW,Degrassi,['CA'],2001,TV-14,14.0,"['drama', 'romance']",7.601
394,SHOW,I Know This Much Is True,['US'],2020,TV-MA,1.0,['drama'],7.6
505,SHOW,That Damn Michael Che,['US'],2021,TV-MA,2.0,['comedy'],7.6
400,SHOW,The Dog House,['GB'],2019,TV-Y7,4.0,['reality'],7.6
402,SHOW,The New Pope,"['FR', 'IT', 'GB', 'ES', 'US']",2020,TV-MA,1.0,['drama'],7.6
361,SHOW,I May Destroy You,"['GB', 'US']",2020,TV-MA,1.0,['drama'],7.6
355,SHOW,Years and Years,['GB'],2019,TV-MA,1.0,"['war', 'scifi', 'drama']",7.6
399,SHOW,Murder on Middle Beach,['US'],2020,TV-MA,1.0,"['thriller', 'documentation', 'crime']",7.6
432,SHOW,What's My Name | Muhammad Ali,['US'],2019,TV-14,1.0,['documentation'],7.6
11,SHOW,Full House,['US'],1987,TV-G,8.0,"['comedy', 'drama', 'family']",7.592
472,SHOW,Gossip Girl,['US'],2021,TV-MA,2.0,"['drama', 'romance']",7.573
477,SHOW,And Just Like That...,['US'],2021,TV-MA,2.0,"['comedy', 'drama', 'romance']",7.571
140,SHOW,Superjail!,['US'],2008,TV-MA,4.0,"['action', 'comedy', 'animation', 'crime', 'fantasy']",7.568
215,SHOW,Olive Kitteridge,['US'],2014,TV-14,1.0,['drama'],7.563
